row,col,p,fdr
158,199,0,0
88,240,0,0
195,238,0,0
88,155,0,0
199,1260,0,0
88,152,0,0
146,1406,0,0
240,564,0,0
158,288,0,0
27,195,0,0
156,916,0,0
19,158,0,0
19,238,0,0
158,234,0,0
157,564,0,0
87,153,0,0
146,3963,0,0
288,564,0,0
504,584,0,0
158,287,0,0
104,288,0,0
2556,14749,0,0
158,1686,0,0
394,3963,0,0
28,88,0,0
87,158,0,0
27,158,0,0
158,239,0,0
151,157,0,0
195,1260,0,0
156,564,0,0
78,94,0,0
156,158,0,0
155,158,0,0
98,145,0,0
155,974,0,0
24,86,0,0
155,564,0,0
158,240,0,0
198,916,0,0
25,33,0,0
86,153,0,0
104,156,0,0
104,240,0,0
28,916,0,0
26,86,0,0
23,28,0,0
19,85,0,0
240,974,0,0
28,158,0,0
104,238,0,0
28,104,0,0
160,504,0,0
85,156,0,0
25,35,0,0
151,1260,0,0
584,1449,0,0
153,156,0,0
104,234,0,0
28,101,0,0
195,199,0,0
24,87,0,0
303,1406,0,0
153,240,0,0
160,1449,0,0
24,156,0,0
28,564,0,0
160,584,0,0
104,152,0,0
19,157,0,0
25,471,0,0
504,1449,0,0
24,240,0,0
153,155,0,0
151,195,0,0
26,87,0,0
157,158,0,0
19,23,0,0
85,87,0,0
157,1260,0,0
28,85,0,0
5309,9405,0,0
589,2226,0,0
24,152,0,0
98,683,0,0
395,598,0,0
86,104,0,0
25,450,0,0
12,1723,0,0
28,974,0,0
195,198,0,0
151,198,0,0
85,155,0,0
85,240,0,0
1792,2226,0,0
362,686,0,0
161,584,0,0
1406,3963,0,0
28,153,0,0
24,155,0,0
26,564,0,0
24,28,0,0
104,287,0,0
394,14749,0,0
152,564,0,0
914,1196,0,0
23,155,0,0
97,194,0,0
26,240,0,0
104,239,0,0
85,86,0,0
104,1686,0,0
23,87,0,0
86,564,0,0
1723,2225,0,0
25,159,0,0
161,1449,0,0
160,161,0,0
88,633,0,0
198,974,0,0
101,155,0,0
152,153,0,0
288,974,0,0
26,156,0,0
86,974,0,0
87,101,0,0
161,504,0,0
19,86,0,0
87,466,0,0
23,156,0,0
146,303,0,0
27,104,0,0
104,157,0,0
78,683,0,0
23,240,0,0
19,1686,0,0
19,239,0,0
4407,8168,0,0
105,160,0,0
101,156,0,0
19,287,0,0
104,195,0,0
152,974,0,0
104,199,0,0
19,199,0,0
26,155,0,0
28,466,0,0
152,158,0,0
19,240,0,0
23,288,0,0
101,240,0,0
26,152,0,0
26,28,0,0
156,466,0,0
19,234,0,0
4852,6437,0,0
155,466,0,0
4852,11603,0,0
6437,11603,0,0
13,683,0,0
146,1792,0,0
151,974,0,0
7960,38805,0,0
105,504,0,0
336,7960,0,0
336,38805,0,0
3963,12129,0,0
198,1260,0,0
23,86,0,0
287,974,0,0
24717,37839,0,0
5708,7960,0,0
5708,38805,0,0
336,5708,0,0
7960,12634,0,0
5708,12634,0,0
12634,38805,0,0
336,12634,0,0
19,155,0,0
19,27,0,0
227,2419,0,0
101,288,0,0
86,101,0,0
19,288,0,0
157,195,0,0
465,1260,0,0
857,11695,0,0
105,1449,0,0
239,974,0,0
195,197,0,0
151,158,0,0
234,974,0,0
365,447,0,0
195,974,0,0
1058,5661,0,0
26,198,0,0
974,1686,0,0
240,466,0,0
27,974,0,0
66,990,0,0
303,3963,0,0
86,466,0,0
88,151,0,0
88,195,0,0
238,466,0,0
5552,12067,0,0
447,1260,0,0
199,974,0,0
238,974,0,0
105,584,0,0
101,238,0,0
23,199,0,0
23,152,0,0
4779,11400,0,0
9633,24459,0,0
5823,16074,0,0
5823,18500,0,0
16074,18500,0,0
23,287,0,0
3073,6668,0,0
101,152,0,0
151,197,0,0
2556,12129,0,0
159,194,0,0
974,1260,0,0
573,28535,0,0
105,161,0,0
7449,28534,0,0
7449,8221,0,0
598,1260,0,0
23,1686,0,0
154,158,0,0
8221,28534,0,0
5434,20322,0,0
7591,29339,0,0
23,239,0,0
19,156,0,0
195,564,0,0
158,197,0,0
13,94,0,0
154,195,0,0
85,152,0,0
208,15917,0,0
287,466,0,0
101,199,0,0
23,234,0,0
101,287,0,0
395,451,0,0
94,3768,0,0
2225,18500,0,0
2225,16074,0,0
2556,3963,0,0
2225,5823,0,0
589,3963,0,0
288,466,0,0
6697,33327,0,0
199,466,0,0
158,198,0,0
78,4370,0,0
466,1686,0,0
101,1686,0,0
104,447,0,0
27,466,0,0
239,466,0,0
151,154,0,0
85,287,0,0
100,158,0,0
101,239,0,0
85,199,0,0
23,27,0,0
19,87,0,0
723,1078,0,0
23,238,0,0
85,288,0,0
19,152,0,0
1078,5831,0,0
234,466,0,0
104,598,0,0
12,18500,0,0
12,16074,0,0
